"School Name","School's Mascot","School Address","School Phone Number","Superintendent's Name:","Principal's Name","Athletic Director's Name","Photo","School's Website","School's Athletic Website (If applicable)","School's IHSA Page Link","School's Mission Statement","ID","Created Date","Updated Date","Owner","Team (Item)","Team (List)"
"Beecher","Bobcats","{""subdivisions"":[{""code"":""IL"",""name"":""Illinois"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Will County"",""name"":""Will County"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Beecher"",""name"":""Beecher"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""US"",""name"":""United States"",""type"":""COUNTRY""}],""city"":""Beecher"",""location"":{""latitude"":41.3451448,""longitude"":-87.6230174},""countryFullname"":""United States"",""streetAddress"":{""number"":""538"",""name"":""Miller Street"",""apt"":"""",""formattedAddressLine"":""538 Miller St""},""formatted"":""538 Miller St, Beecher, IL 60401, USA"",""country"":""US"",""postalCode"":""60401-6620"",""subdivision"":""IL""}","(708) 946-2266","Jack Gaham","Mike Meyer","Brandon DuBois","wix:image://v1/f62c0e_7f0a292c524c4a17a047148d1473ce29~mv2.png/Beecher-min.png#originWidth=500&originHeight=500","https://www.beecher200u.org","https://www.beecher200u.org/athletics","https://www.ihsa.org/Schools/School.aspx?schoolId=Beecher","Inspiring a small community to pursue the biggest of dreams through a safe, effective learning environment that develops character and puts students on the path to success.","00000000-0000-0000-0000-000000000001",2025-06-10T15:49:31Z,2025-06-10T18:59:33Z,"f62c0e8d-a871-40ec-ab50-71cbaf7efbca","/team/beecher","/team/"
"Central","Comets","{""subdivisions"":[{""code"":""IL"",""name"":""Illinois"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Iroquois County"",""name"":""Iroquois County"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Clifton"",""name"":""Clifton"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""US"",""name"":""United States"",""type"":""COUNTRY""}],""city"":""Clifton"",""location"":{""latitude"":40.9595846,""longitude"":-87.917463},""countryFullname"":""United States"",""streetAddress"":{""number"":""1134"",""name"":""3100 North"",""apt"":"""",""formattedAddressLine"":""1134 3100 N""},""formatted"":""1134 3100 N, Clifton, IL 60927, USA"",""country"":""US"",""postalCode"":""60927-7088"",""subdivision"":""IL""}","815-694-2321","Matt Maxwell","Marc Shaner","DJ Harris","wix:image://v1/f62c0e_6dcc2acf98bb4b11be5efedeac8ea8c9~mv2.png/Central-min.png#originWidth=500&originHeight=500","https://www.centralcougars.org","https://www.centralcougars.org/athletics","https://www.ihsa.org/Schools/School.aspx?schoolId=Central","The mission of Central High School is to create a dynamic environment that meets diverse needs, creates productive citizens, and promotes lifelong learning.","00000000-0000-0000-0000-000000000002",2025-06-10T15:49:31Z,2025-06-10T18:59:22Z,"f62c0e8d-a871-40ec-ab50-71cbaf7efbca","/team/central","/team/"
"Donovan","Wildcats","{""subdivisions"":[{""code"":""IL"",""name"":""Illinois"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Iroquois County"",""name"":""Iroquois County"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Donovan"",""name"":""Donovan"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""US"",""name"":""United States"",""type"":""COUNTRY""}],""city"":""Donovan"",""location"":{""latitude"":40.8853142,""longitude"":-87.612774},""countryFullname"":""United States"",""streetAddress"":{""number"":""600"",""name"":""North Street"",""apt"":"""",""formattedAddressLine"":""600 North St""},""formatted"":""600 North St, Donovan, IL 60931, USA"",""country"":""US"",""postalCode"":""60931"",""subdivision"":""IL""}","815-486-7395","Andy Jordan","Justin Benda","Kim Onnen","wix:image://v1/f62c0e_b458523383b5472f99755656f9615861~mv2.png/Donovan-min1.png#originWidth=500&originHeight=500","https://www.donovanschools.org","https://www.donovanschools.org/athletics","https://www.ihsa.org/Schools/School.aspx?schoolId=Donovan","The mission of the Donovan CUSD3 is to teach students skills and values while encouraging them to gain the knowledge necessary to empower them to be contributing, responsible citizens confidently adapting to our changing society.","00000000-0000-0000-0000-000000000003",2025-06-10T15:49:31Z,2025-06-10T16:53:09Z,"f62c0e8d-a871-40ec-ab50-71cbaf7efbca","/team/donovan","/team/"
"Gardner South Wilmington","Panthers","{""subdivisions"":[{""code"":""IL"",""name"":""Illinois"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Grundy County"",""name"":""Grundy County"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Gardner"",""name"":""Gardner"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""US"",""name"":""United States"",""type"":""COUNTRY""}],""city"":""Gardner"",""location"":{""latitude"":41.1855529,""longitude"":-88.302122},""countryFullname"":""United States"",""streetAddress"":{""number"":""500"",""name"":""East Main Street"",""apt"":"""",""formattedAddressLine"":""500 E Main St""},""formatted"":""500 E Main St, Gardner, IL 60424, USA"",""country"":""US"",""postalCode"":""60424-6316"",""subdivision"":""IL""}","815-486-7395","Joshua Delong","Brian Davis","Amber Eisha","wix:image://v1/f62c0e_0cd0aeb52c0746279a9230b541d93bcb~mv2.png/GSW-min.png#originWidth=500&originHeight=500","https://www.gswschools.org","https://www.gswschools.org/athletics","https://www.ihsa.org/Schools/School.aspx?schoolId=GSW","Our school will provide a safe, secure, and respectful environment in which technology, realâ€‘life experiences, and various teaching methods provide an atmosphere in which students may learn basic skills, work with abstract concepts, and develop critical thinking while fostering individual development and selfâ€‘esteem. Our students will become selfâ€‘reliant and selfâ€‘confident problem solvers with a lifelong desire for learning and with skills to be responsible, active members of society.","4fc85003-d205-41a1-867f-8e04b6a7e947",2025-06-10T15:49:31Z,2025-06-10T16:53:12Z,"f62c0e8d-a871-40ec-ab50-71cbaf7efbca","/team/gardner%C3%A2%E2%82%AC%E2%80%98south-wilmington","/team/"
"Grace Christian Academy","Crusaders","{""subdivisions"":[{""code"":""IL"",""name"":""Illinois"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Kankakee County"",""name"":""Kankakee County"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Kankakee"",""name"":""Kankakee"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""US"",""name"":""United States"",""type"":""COUNTRY""}],""city"":""Kankakee"",""location"":{""latitude"":41.1027796,""longitude"":-87.8280676},""countryFullname"":""United States"",""streetAddress"":{""number"":""2499"",""name"":""Waldron Road"",""apt"":"""",""formattedAddressLine"":""2499 Waldron Rd""},""formatted"":""2499 Waldron Rd, Kankakee, IL 60901, USA"",""country"":""US"",""postalCode"":""60901-5922"",""subdivision"":""IL""}","815-939-4579",,"Aaron Most","Jon Chappell","wix:image://v1/f62c0e_433796afbf5c4b978fdf1c1bdf3ef72c~mv2.png/GCA-min.png#originWidth=500&originHeight=500","https://www.gcakankakee.org","https://www.gcakankakee.org/athletics","https://www.ihsa.org/Schools/School.aspx?schoolId=GraceChristian","In Pursuit of Wisdom through Relationship, Instruction, and Service","549eb9f6-d5d2-4065-83de-938717b0b467",2025-06-10T15:57:52Z,2025-06-10T16:53:15Z,"f62c0e8d-a871-40ec-ab50-71cbaf7efbca","/team/grace-christian-academy","/team/"
"Grant Park","Dragons","{""subdivisions"":[{""code"":""IL"",""name"":""Illinois"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Kankakee County"",""name"":""Kankakee County"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Grant Park"",""name"":""Grant Park"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""US"",""name"":""United States"",""type"":""COUNTRY""}],""city"":""Grant Park"",""location"":{""latitude"":41.2454587,""longitude"":-87.6498391},""countryFullname"":""United States"",""streetAddress"":{""number"":""421"",""name"":""Esson Farm Road"",""apt"":"""",""formattedAddressLine"":""421 Esson Farm Rd""},""formatted"":""421 Esson Farm Rd, Grant Park, IL 60940, USA"",""country"":""US"",""postalCode"":""60940-7262"",""subdivision"":""IL""}","815-465-2181","John Palan","Kyle Nevills","Jared Thompson","wix:image://v1/f62c0e_e50cadc4b0134ad1985c200e6469667c~mv2.png/GP-min.png#originWidth=500&originHeight=500","https://www.gphs.org","https://www.gphs.org/athletics","https://www.ihsa.org/Schools/School.aspx?schoolId=GrantPark","Excellence in Everything We Do","573751ef-eb3d-43b0-a911-8a5e38580272",2025-06-10T15:49:31Z,2025-06-10T16:53:17Z,"f62c0e8d-a871-40ec-ab50-71cbaf7efbca","/team/grant-park","/team/"
"Illinois Lutheran","Chargers","{""subdivisions"":[{""code"":""IL"",""name"":""Illinois"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Will County"",""name"":""Will County"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Crete"",""name"":""Crete"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""US"",""name"":""United States"",""type"":""COUNTRY""}],""city"":""Crete"",""location"":{""latitude"":41.435853,""longitude"":-87.6323699},""countryFullname"":""United States"",""streetAddress"":{""number"":""1610"",""name"":""Main Street"",""apt"":"""",""formattedAddressLine"":""1610 Main St""},""formatted"":""1610 Main St, Crete, IL 60417, USA"",""country"":""US"",""postalCode"":""60417-3146"",""subdivision"":""IL""}","708-672-3262",,"Matt Moeller","Nathan Hinz","wix:image://v1/f62c0e_f12b422cb0b649148f89a4f5bdcba0f3~mv2.png/ill-luth-min.png#originWidth=500&originHeight=500","https://www.il-lutheran.org","https://www.il-lutheran.org/athletics","https://www.ihsa.org/Schools/School.aspx?schoolId=IllinoisLutheran","Illinois Lutheran provides a quality, Christian education to students of the Church and the community and the world by nurturing and reaching souls for time and eternity.","59dc190f-e146-4834-9a19-d24b66ad66a8",2025-06-10T15:57:52Z,2025-06-10T16:53:20Z,"f62c0e8d-a871-40ec-ab50-71cbaf7efbca","/team/illinois-lutheran","/team/"
"Momence","Redskins","{""subdivisions"":[{""code"":""IL"",""name"":""Illinois"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Kankakee County"",""name"":""Kankakee County"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Momence"",""name"":""Momence"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""US"",""name"":""United States"",""type"":""COUNTRY""}],""city"":""Momence"",""location"":{""latitude"":41.1625925,""longitude"":-87.6712374},""countryFullname"":""United States"",""streetAddress"":{""number"":""101"",""name"":""North Franklin Street"",""apt"":"""",""formattedAddressLine"":""101 N Franklin St""},""formatted"":""101 N Franklin St, Momence, IL 60954, USA"",""country"":""US"",""postalCode"":""60954-1453"",""subdivision"":""IL""}","815-472-6477","Shannon Anderson","Jack Richards","Ted Rounds","wix:image://v1/f62c0e_ce09f801295c4b9b9c42f26462b71cf1~mv2.png/Momence-min.png#originWidth=500&originHeight=500","https://www.mhsraiders.org","https://www.mhsraiders.org/athletics","https://www.ihsa.org/Schools/School.aspx?schoolId=Momence","Our purpose is to create pathways to intellectual, social, and emotional success for all individuals we serve by fostering positive relationships and adding value to the greater community","610f1bb8-3feb-41f9-92c5-c1cfbae63312",2025-06-10T15:49:31Z,2025-06-10T16:53:22Z,"f62c0e8d-a871-40ec-ab50-71cbaf7efbca","/team/momence","/team/"
"St. Anne","Cardinals","{""subdivisions"":[{""code"":""IL"",""name"":""Illinois"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Kankakee County"",""name"":""Kankakee County"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""St Anne"",""name"":""Saint Anne"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""US"",""name"":""United States"",""type"":""COUNTRY""}],""city"":""Saint Anne"",""location"":{""latitude"":41.0204162,""longitude"":-87.7227199},""countryFullname"":""United States"",""streetAddress"":{""number"":""650"",""name"":""West Guertin Street"",""apt"":"""",""formattedAddressLine"":""650 W Guertin St""},""formatted"":""650 W Guertin St, St Anne, IL 60964, USA"",""country"":""US"",""postalCode"":""60964"",""subdivision"":""IL""}","815-427-8141","Charles Stegall","Ben O'Brien","Zach Kirkland","wix:image://v1/f62c0e_512c269cc70f4a61b0ddb9abae958220~mv2.png/StAnne-min.png#originWidth=500&originHeight=500","https://www.stannehs.org","https://www.stannehs.org/athletics","https://www.ihsa.org/Schools/School.aspx?schoolId=StAnne","We strive to educate students and to assist them in realizing their full potential.","6cdd2ae5-aff0-4321-be28-20a8734f9b29",2025-06-10T15:57:51Z,2025-06-10T16:53:24Z,"f62c0e8d-a871-40ec-ab50-71cbaf7efbca","/team/st.-anne","/team/"
"Tri Point","Chargers","{""subdivisions"":[{""code"":""IL"",""name"":""Illinois"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Livingston County"",""name"":""Livingston County"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Cullom"",""name"":""Cullom"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""US"",""name"":""United States"",""type"":""COUNTRY""}],""city"":""Cullom"",""location"":{""latitude"":40.881528,""longitude"":-88.26805519999999},""countryFullname"":""United States"",""streetAddress"":{""number"":""103"",""name"":""East Van Alstyne Street"",""apt"":"""",""formattedAddressLine"":""103 E Van Alstyne St""},""formatted"":""103 E Van Alstyne St, Cullom, IL 60929, USA"",""country"":""US"",""postalCode"":""60929-7156"",""subdivision"":""IL""}","815-689-2110","Jay Bennett","Alison Buckley","Alison Buckley","wix:image://v1/f62c0e_ddbffef98d8545d58b20c4741519a763~mv2.png/TriPoint-min.png#originWidth=500&originHeight=500","https://www.tri-point.org","https://www.tri-point.org/athletics","https://www.ihsa.org/Schools/School.aspx?schoolId=TriPoint","Provide highest standard of education in a positive, safe environment while equipping students to be productive citizens.","72e97761-818f-4c28-8f96-f9d03d2c42ed",2025-06-10T15:57:53Z,2025-06-10T16:53:26Z,"f62c0e8d-a871-40ec-ab50-71cbaf7efbca","/team/tri%C3%A2%E2%82%AC%E2%80%98point","/team/"
