6,,,,,,,,,,,
,HOME,AWAY,,,HOME,AWAY,,,,,
Tuesday,Clifton Central,Beecher,,Friday,Donovan,GSW,,,,,
,Tri-Point,GSW,,,Clifton Central,Grant Park,,,,,
"November 18, 2025",Grace,Grant Park,,"November 21, 2025",Tri-Point,IL Lutheran,,,,,
,Momence,IL Lutheran,,,Grace,Momence,,,,,
,BYE,Donovan,,,BYE,Beecher,,,,,
,,,,,,,,,,,
,HOME,AWAY,,,HOME,AWAY,,,,,
Monday,IL Lutheran,Grace,,Thursday,Beecher,Grant Park,,,,,
,Grant Park,Tri-Point,,,Donovan,IL Lutheran,,,,,
"December 1, 2025",GSW,Clifton Central,,"December 4, 2025",Clifton Central,Momence,,,,,
,Beecher,Donovan,,,Tri-Point,Grace,,,,,
,BYE,Momence,,,BYE,GSW,,,,,
,,,,,,,,,,,
,HOME,AWAY,,,HOME,AWAY,,,,,
Monday,Momence,Tri-Point,,Thursday,Grant Park,Momence,,,,,
,IL Lutheran,Clifton Central,,,GSW,Grace,,,,,
"December 8, 2025",Grant Park,Donovan,,"December 11, 2025",Beecher,Tri-Point,,,,,
,GSW,Beecher,,,Donovan,Clifton Central,,,,,
,BYE,Grace,,,BYE,IL Lutheran,,,,,
,,,,,,,,,,,
,HOME,AWAY,,,HOME,AWAY,,,,,
Monday,GSW,IL Lutheran,,Thursday,Grace,Clifton Central,,,,,
,Beecher,Momence,,,Momence,Donovan,,,,,
"December 15, 2025",Donovan,Grace,,"December 18, 2025",IL Lutheran,Beecher,,,,,
,Clifton Central,Tri-Point,,,Grant Park,GSW,,,,,
,BYE,Grant Park,,,BYE,Tri-Point,,,,,
,,,,,,,,,,,
,HOME,AWAY,,,HOME,AWAY,,,,,
Monday,Donovan,Tri-Point,,Thursday,Beecher,Clifton Central,,,,,
,Beecher,Grace,,,GSW,Tri-Point,,,,,
"January 5, 2026",GSW,Momence,,"January 8, 2026",Grant Park,Grace,,,,,
,Grant Park,IL Lutheran,,,IL Lutheran,Momence,,,,,
,BYE,Clifton Central,,,BYE,Donovan,,,,,
,,,,,,,,,,,
,HOME,AWAY,,,HOME,AWAY,,,,,
Monday,Tri-Point,Donovan,,Thursday,Momence,Grant Park,,,,,
,Grace,Beecher,,,Grace,GSW,,,,,
"January 12, 2026",Momence,GSW,,"January 15, 2026",Tri-Point,Beecher,,,,,
,IL Lutheran,Grant Park,,,Clifton Central,Donovan,,,,,
,BYE,Clifton Central,,,BYE,IL Lutheran,,,,,
,,,,,,,,,,,
,HOME,AWAY,,,HOME,AWAY,,,,,
Tuesday,GSW,Donovan,,Thursday,Grace,IL Lutheran,,,,,
,Grant Park,Clifton Central,,,Tri-Point,Grant Park,,,,,
"January 20, 2026",IL Lutheran,Tri-Point,,"January 22, 2026",Clifton Central,GSW,,,,,
,Momence,Grace,,,Donovan,Beecher,,,,,
,BYE,Beecher,,,BYE,Momence,,,,,
,,,,,,,,,,,
,HOME,AWAY,,,HOME,AWAY,,,,,
Monday,Grant Park,Beecher,,Thursday,Tri-Point,Momence,,,,,
,IL Lutheran,Donovan,,,Clifton Central,IL Lutheran,,,,,
"January 26, 2026",Momence,Clifton Central,,"January 29, 2026",Donovan,Grant Park,,,,,
,Grace,Tri-Point,,,Beecher,GSW,,,,,
,BYE,GSW,,,BYE,Grace,,,,,
,,,,,,,,,,,
,HOME,AWAY,,,HOME,AWAY,,,,,
Monday,IL Lutheran,GSW,,Thursday,Clifton Central,Grace,,,,,
,Momence,Beecher,,,Donovan,Momence,,,,,
"February 2, 2026",Grace,Donovan,,"February 5, 2026",Beecher,IL Lutheran,,,,,
,Tri-Point,Clifton Central,,,GSW,Grant Park,,,,,
,BYE,Grant Park,,,BYE,Tri-Point,,,,,
,,,,,,,,,,,
,HOME,AWAY,,,HOME,AWAY,,,HOME,AWAY,
Monday,#1,#4,,Wednesday,,,,Thursday,better seed hosts,,Championship
,#2,#3,,,,,,,,,3rd Place
"February 9, 2026",#9,#8,,"February 11, 2026",#5,winner #8/9,,"February 12, 2026",winner #5 v #8/#9,winner #6/#7,5th place
,#7,#6,,,,,,,loser #6/#7,loser #8/#9,7th place
,BYE,#5,,,BYE,loser #8/#9,,,BYE,loser #5 vs #8/#9 winner,
,,,,,,,,,,,
The top four seeds play in a bracketed tournament on Monday and Thursday,,,,,,,,,,,
The bottom four seeds play in a modified bracketed tournament so that all teams in the bottom 5 get two games for the last week. ,,,,,,,,,,,
,,,,,,,,,,,
Season Starts,,Nov. 3,,,,,,,,,
First Contest,,Nov. 17,,,,,,,,,
Regionals,,Feb. 14-20,,,,,,,,,
Sectionals ,,"Feb. 24, 26",,,,,,,,,
Super sectional,,March 2,,,,,,,,,
State,,March 5-7,,,,,,,,,
