School Name,School's Mascot,School Address,School Phone Number,Superintendent's Name:,Principal's Name,Athletic Director's Name,Photo,School's Website,School's Athletic Website (If applicable),School's IHSA Page Link,School's Mission Statement
Beecher,Bobcats,"538 Miller St, Beecher, IL 60401",(708) 946-2266,Jack Gaham,Mike Meyer,Brandon DuBois,,http://www.beecher200u.org/,https://schools.snap.app/Beecher,https://www.ihsa.org/data/school/schools/0206.htm,"Inspiring a small community to pursue the biggest of dreams through a safe, effective learning environment that develops character and puts students on the path to success."
Central,Comets,"1134 E 3100 N Rd, Clifton, IL 60927",815-694-2321,Matt Maxwell,Marc Shaner,DJ Harris,,http://www.cusd4.org/,https://schools.snap.app/cusd4athletics,https://www.ihsa.org/data/school/schools/0337.htm,"The mission of Central High School is to create a dynamic environment that meets diverse needs, creates productive citizens, and promotes lifelong learning."
Donovan,Wildcats,"600 North St, Donovan, IL 60931",815-486-7395,Andy Jordan,Justin Benda,Kim Onnen,,http://donovanschools.org/,https://schools.snap.app/Donovan,https://www.ihsa.org/data/school/schools/0421.htm,"The mission of the Donovan CUSD3 is to teach students skills and values while encouraging them to gain the knowledge necessary to empower them to be contributing, responsible citizens confidently adapting to our changing society."
Gardner South Wilmington,Panthers,"500 E Main St, Gardner, IL 60424",815-486-7395,Joshua Delong,Brian Davis,Amber Eisha,,http://www.gswhs73.org/,https://www.gswhs73.org/vnews/display.v/SEC/Athletics/Activities,https://www.ihsa.org/data/school/schools/0705.htm,"Our school will provide a safe, secure, and respectful environment in which technology, realâ€‘life experiences, and various teaching methods provide an atmosphere in which students may learn basic skills, work with abstract concepts, and develop critical thinking while fostering individual development and selfâ€‘esteem. Our students will become selfâ€‘reliant and selfâ€‘confident problem solvers with a lifelong desire for learning and with skills to be responsible, active members of society."
Grace Christian Academy,Crusaders,"2499 Waldron Rd, Kankakee, IL 60901",815-939-4579,,Aaron Most,Jon Chappell,,https://www.gracecrusaders.org/,https://schools.snap.app/gracechristian,https://www.ihsa.org/data/school/schools/1110.htm,"In Pursuit of Wisdom through Relationship, Instruction, and Service"
Grant Park,Dragons,"421 Esson Farm Rd, Grant Park, IL 60940",815-465-2181,John Palan,Kyle Nevills,Jared Thompson,,http://www.grantparkdragons.org/,https://grantparkdragons.org/grant-park-high-school/extra-curricular-activities,https://www.ihsa.org/data/school/schools/0721.htm,Excellence in Everything We Do
Illinois Lutheran,Chargers,"1610 Main St, Crete, IL 60417",708-672-3262,,Matt Moeller,Nathan Hinz,,http://ilhs.org/,https://ilhs.org/high-school-sports/,https://www.ihsa.org/data/school/schools/0351.htm,"Illinois Lutheran provides a quality, Christian education to students of the Church and the community and the world by nurturing and reaching souls for time and eternity."
Momence,Redskins,"101 N Franklin St, Momence, IL 60954",815-472-6477,Shannon Anderson,Jack Richards,Ted Rounds,,http://momence.k12.il.us/,https://schools.snap.app/Momence,https://www.ihsa.org/data/school/schools/1336.htm,"Our purpose is to create pathways to intellectual, social, and emotional success for all individuals we serve by fostering positive relationships and adding value to the greater community"
St. Anne,Cardinals,"650 W Guertin St, St. Anne, IL 60964",815-427-8141,Charles Stegall,Ben O'Brien,Zach Kirkland,,http://www.stanne24.org/,https://schools.snap.app/stanne,https://www.ihsa.org/data/school/schools/1901.htm,We strive to educate students and to assist them in realizing their full potential.
Tri Point,Chargers,"103 E Van Alstyne St, Cullom, IL 60929",815-689-2110,Jay Bennett,Alison Buckley,Alison Buckley,,http://www.tripointschools.org/,https://schools.snap.app/TriPointHS,https://www.ihsa.org/data/school/schools/0355.htm,"Provide highest standard of education in a positive, safe environment while equipping students to be productive citizens."
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
